sender	patientType	scenario	demand
s087	c	n18	0
s087	n	n18	29
s087	c	n19	0
s087	n	n19	29
s087	c	n20	0
s087	n	n20	29
s087	c	n21	0
s087	n	n21	29
s087	c	n24	0
s087	n	n24	29
s088	c	n04	0
s088	n	n04	87
s088	c	n05	0
s088	n	n05	87
s088	c	n06	0
s088	n	n06	87
s088	c	n07	0
s088	n	n07	87
s088	c	n08	0
s088	n	n08	87
s088	c	n09	0
s088	n	n09	87
s088	c	n10	0
s088	n	n10	87
s088	c	n11	0
s088	n	n11	87
s088	c	n12	0
s088	n	n12	87
s088	c	n13	0
s088	n	n13	87
s088	c	n14	0
s088	n	n14	87
s088	c	n15	0
s088	n	n15	87
s088	c	n16	0
s088	n	n16	87
s088	c	n17	0
s088	n	n17	87
s088	c	n18	0
s088	n	n18	87
s088	c	n19	0
s088	n	n19	87
s088	c	n20	0
s088	n	n20	87
s088	c	n21	0
s088	n	n21	87
s089	c	n01	0
s089	n	n01	8
s089	c	n02	0
s089	n	n02	8
s089	c	n03	0
s089	n	n03	8
s089	c	n04	0
s089	n	n04	8
s089	c	n05	0
s089	n	n05	8
s089	c	n06	0
s089	n	n06	8
s089	c	n07	0
s089	n	n07	8
s089	c	n08	0
s089	n	n08	8
s089	c	n09	0
s089	n	n09	8
s089	c	n10	0
s089	n	n10	8
s089	c	n11	0
s089	n	n11	8
s089	c	n12	0
s089	n	n12	8
s089	c	n13	0
s089	n	n13	8
s089	c	n14	0
s089	n	n14	8
s089	c	n15	0
s089	n	n15	8
s089	c	n16	0
s089	n	n16	8
s089	c	n17	0
s089	n	n17	8
s089	c	n18	0
