,staging,sender,receiver,staging1,vehicleType,patientType,scenario,value
555,a1,s099,r238,a1,v00,n,n07,4
556,a1,s104,r364,a1,v00,n,n07,4
557,a1,s127,r227,a1,v00,n,n07,4
558,a1,s268,r422,a1,v00,n,n07,4
559,a1,s312,r493,a1,v00,n,n07,4
560,a1,s175,r310,a1,v00,n,n07,3
561,a1,s024,r061,a1,v00,n,n07,2
562,a1,s032,r016,a1,v00,c,n08,54
563,a1,s032,r016,a1,v20,n,n08,15
564,a1,s032,r016,a1,v00,n,n08,3
565,a1,s049,r025,a1,v00,c,n08,38
566,a1,s049,r025,a1,v20,n,n08,1
567,a1,s049,r025,a1,v00,n,n08,191
568,a1,s010,r011,a1,v00,c,n08,36
569,a1,s010,r011,a1,v00,n,n08,199
570,a1,s054,r061,a1,v00,c,n08,23
571,a1,s054,r061,a1,v00,n,n08,129
572,a1,s170,r277,a1,v00,n,n08,98
573,a1,s170,r195,a1,v00,n,n08,54
574,a1,s053,r024,a1,v00,c,n08,22
